index,post_text
0,Why Thais need to fight like beggars for small changes that the government throw at them when every citizen should have it?  #whatshappeninginthailand  #Thailand
1,"#whatshappeninginthailand Citizens are being arrested just for wearing traditional Thai dress. Apparently monarchy is monopolising even the national tradition. Monarchy is part of the nation, not the nation itself!!"
2,Thailand government try to brainwash students by incorporating additional unnecessary military information lecture subjects into students daily session.Prayut government must have gone crazy. 
3,"Since 2016, 8 Thai activists have disappeared from exile. 2 were found floating in the Mekong River, faces mashed and bodies stuffed with concrete. All were wanted in Thailand on for criticism of the government or monarchy. "
4,Human cruelty. There is no need to lock up in the building because of a case found. It is because most of the residents are migrants workers  #whatshappeninginthailand
5,It pains me so much to see this happen. The Thai government is using real bullets to fend of the protesters. This is absolutely disgusting and if you are reading this please share and retweet this post. Thank you
6,I have been sexually abused by teachers. School is not a safe place says one Thai student sign at today’s protest
7,THE SITUATION IS GETTING WORSE! dictatorial government are using violence against us. The full armed forces are attacking the barehanded youth protesters with high pressure acid solution canons and tear gases
8,time for some lessons!  We are STILL under the state of emergency despite no local covid cases for more than a month!! And the gov is looking to extend it another month!! Why?
9,How dare you call yourself  a Democracy Country when you enforced disappearance your people just because they asked for their right and told the truth to others.
10,"Thailand is now protesting against the government. From the forced disappearance of Wanchalerm, Mistake of Covid Quarantine management in Rayong, and the arrest of two students protesters, now people are angry."
11,"Bringing my space dads to attend the event led by pro-democracy protesters on legalising same-sex marriage and abolishing the lese majeste law. Even though the movement remains a long way off, we should never lose hope"
12,"Medics and press are pushed out of the area and heavily screened. As of the current situation, no press can enter and broadcast the situation"
13,The government uses rubber bullets to shoot unarmed Thai citizens. Please send news abroad to all All nations must recognize and to know the evil that the Thai government has done to the Thai people.#WhatsHappeningInThailand 
14,stop talking now want to develop the country's economy should develop the police first How can it hurt people like this? I love everything that is Thai But with the exception of the Prime Minister of Thailand and the Thai police #WhatsHappeningInThailand 
15,More than a thousand anti-government protesters clashed with police as they demonstrated against the government's failure to handle coronavirus outbreaks and the resulting impact on the economy. 
16,"Pro-democracy activists took to the streets of #Bangkok on Sunday, calling on Thai PM Prayut Chan-o-cha and his government to resign on accusations of mismanaging the economy, abusing human rights and corruption "
17,The world please pay attention here!! The protesters against the dictatorship government were attacked by the water canon and some were arrested. Thailand is not only your vacation destination but there are people who want to live in the just world too #WhatsHappeningInThailand
18,"College kids fight for democracy, imprisoned on les majeste charge, repeatedly denied bail even while they await trial. They gone on hunger strike in protest."
19,"#WhatsHappeningInThailand We are in full lockdown for weeks now. Everything closed down, government is failing, the current PM is from military background and have no brain on country management."
20,"They are Border Patrol Police. They are paramilitary! Please don’t be fooled by the English label on their shields. The Thai label indicates that they are not regular police. They are trained to kill enemy combatants, unlike regular police. #whatshappeninginthailand"
21,"In 🇹🇭, student activists are facing many years in jail for advocating royal reforms. Subjected to EM, although not behind bars, their life feels like a prison. "
22,So disgusting !!! Thai riot polices attacked this elderly monk which was unacceptable. The world should condemn this worst incident that ruined all image of the country. #WhatsHappeningInThailand
23,Most Thai police are ready to be slaves to anyone who has an interest Or be a Robocop policeman ready to do all the functions that the boss has put into any program Thai police are really social trash
24,"A minor is convicted of Lèse-majesté violation in Thailand. 😢The youth want the freedom to speak out, to have a say in the way their country is governed & this is the response of the Thai authorities. "
25,"Harassment against high school students in Phrae!! They just expressed the opinions through their parade and cheering stand to abolish the Lese Majeste Law, and promote equal rights for all. Reportedly, the palace/ police were in contact with the school"
26,They use 112 at young highschool students. Dictatorship is just a coward! 
27,All the violence is always from the police. You can see that the smoke grenade was thrown from the police side. In spite of the public only having empty hands. 
28,The recent government has created caste system and discrimination where it did not exist before in school curriculum. Classifying the cabinet as high-classed and the royal family as highest classification I can’t imagine who at the lowest class
29,Totally wasting tax payers money for these clowns.
30,"Royalists, too, must join the conversation, and help craft a consensus together. It is the only way out."
31,It is crazy to charge someone who criticizing a king who does not even deserve to be king.
32,Those who think silencing the pro democracy leaders #whatshappeninginthailand can solve their problem never heard or face the people revolution. Everything can be forgiven NOT killing people who speak up for freedom and equality.
33,How dare it called Constitutional Court while their judgement depend on army order? Junta! WE NEED DEMOCRACY
34,No attempt whatsoever to find and reprimand the one who shot. Meanwhile police are still busy charging peaceful protesters who have done no harm whatsoever. This is why we protest.
35,Today in Thailand many high school students are showing their dislike of the Thai education system by not wearing uniform. Good luck to the Thai students who are standing up for their beliefs today. 
36,"this is what protesters call for human right but they never ever respect to the other people human right,keep bullying even a girl! wtf"
37,"Pro democracy protesters are unarmed and only with fighting spirit. Meanwhile Thai army are guarding themselves with wired barricades, water canon, and all the weapons."
38,The PM a man who never take any responsibility for what he did. All his entire career in military didn't make him to be considered as a warrior.
39,"Very strange what happened tonight, I believe military or police are behind the shooting trying to stir the waters and create chaos... FUCK THE THAI POLICE"
40,The protesters are demanding for Prayut to resign. They said the government led by the pro-military Palang Pracharath Party has failed to manage the economy and the Covid outbreak while the wealth gap is widening. 
41,Not to mention Thai economy 2020 is going swimmingly too. 
